@id,@type,rdfs:label
ndc9:014.49,skos:Concept,資料の収集．資料の整理．資料の保管--分類法．件名標目法．主題分析--件名標目．シソーラス．件名作業
ndc9:014.495,skos:Concept,資料の収集．資料の整理．資料の保管--件名標目．シソーラス．件名作業--一般件名標目表
ndc9:014.496,skos:Concept,資料の収集．資料の整理．資料の保管--件名標目．シソーラス．件名作業--専門図書館件名標目表
ndc9:014.497,skos:Concept,資料の収集．資料の整理．資料の保管--件名標目．シソーラス．件名作業--学校図書館件名標目表
ndc9:014.5,skos:Concept,資料の収集．資料の整理．資料の保管--図書の配架法
ndc9:014.55,skos:Concept,資料の収集．資料の整理．資料の保管--図書の配架法--図書記号法．著者記号表
ndc9:014.57,skos:Concept,資料の収集．資料の整理．資料の保管--図書の配架法--書架目録［シェルフ リスト］
ndc9:014.6,skos:Concept,資料の収集．資料の整理．資料の保管--資料保存．蔵書管理
ndc9:014.61,skos:Concept,資料の収集．資料の整理．資料の保管--資料保存．蔵書管理--資料保存
ndc9:014.612,skos:Concept,資料の収集．資料の整理．資料の保管--資料保存--劣化．破損
ndc9:014.614,skos:Concept,資料の収集．資料の整理．資料の保管--資料保存--劣化・破損の対策：消毒，曝書，燻蒸，脱酸，媒体変換
ndc9:014.66,skos:Concept,資料の収集．資料の整理．資料の保管--資料保存．蔵書管理--図書館製本
ndc9:014.67,skos:Concept,資料の収集．資料の整理．資料の保管--資料保存．蔵書管理--蔵書点検
ndc9:014.68,skos:Concept,資料の収集．資料の整理．資料の保管--資料保存．蔵書管理--保存図書館［デポジット ライブラリー］．共同保管
ndc9:014.7,skos:Concept,資料の収集．資料の整理．資料の保管--非図書資料．特殊資料
ndc9:014.71,skos:Concept,資料の収集．資料の整理．資料の保管--非図書資料．特殊資料--文書．記録．写本．貴重書
ndc9:014.72,skos:Concept,資料の収集．資料の整理．資料の保管--非図書資料．特殊資料--郷土資料．考古学資料．三次元［立体］資料
ndc9:014.73,skos:Concept,資料の収集．資料の整理．資料の保管--非図書資料．特殊資料--パンフレット．リーフレット
ndc9:014.74,skos:Concept,資料の収集．資料の整理．資料の保管--非図書資料．特殊資料--インフォメーション ファイル．小資料．クリッピング
ndc9:014.75,skos:Concept,資料の収集．資料の整理．資料の保管--非図書資料．特殊資料--逐次刊行物
ndc9:014.76,skos:Concept,資料の収集．資料の整理．資料の保管--非図書資料．特殊資料--マイクロ写真資料
ndc9:014.77,skos:Concept,資料の収集．資料の整理．資料の保管--非図書資料．特殊資料--視聴覚資料：フィルム，スライド，レコード［音盤］，録音テープ，ビデオテープ，レーザーディスク［LD］，コンパクト ディスク［CD］
ndc9:014.78,skos:Concept,資料の収集．資料の整理．資料の保管--非図書資料．特殊資料--地図．図表．楽譜．絵画．写真
ndc9:014.79,skos:Concept,資料の収集．資料の整理．資料の保管--非図書資料．特殊資料--点字図書
ndc9:014.8,skos:Concept,資料の収集．資料の整理．資料の保管--政府刊行物
ndc9:015.1,skos:Concept,図書館奉仕．図書館活動--閲覧方式．館内奉仕
ndc9:015.17,skos:Concept,図書館奉仕．図書館活動--閲覧方式．館内奉仕--障害者に対する奉仕
ndc9:015.2,skos:Concept,図書館奉仕．図書館活動--レファレンス サービス［参考業務］
ndc9:015.29,skos:Concept,図書館奉仕．図書館活動--複写サービス
ndc9:015.3,skos:Concept,図書館奉仕．図書館活動--図書の貸出．貸出記録法
ndc9:015.38,skos:Concept,図書館奉仕．図書館活動--図書の貸出．貸出記録法--図書館相互貸借［ILL］
ndc9:015.4,skos:Concept,図書館奉仕．図書館活動--貸出文庫．団体貸出
ndc9:015.5,skos:Concept,図書館奉仕．図書館活動--移動図書館．ブックモビル
ndc9:015.6,skos:Concept,図書館奉仕．図書館活動--読書会．読書運動
ndc9:015.7,skos:Concept,図書館奉仕．図書館活動--図書館と他の文化機関との協力活動
ndc9:015.8,skos:Concept,図書館奉仕．図書館活動--図書館の催しもの
ndc9:016.1,skos:Concept,各種の図書館--国立図書館
ndc9:016.2,skos:Concept,各種の図書館--公共図書館
ndc9:016.28,skos:Concept,各種の図書館--公共図書館--児童図書館
ndc9:016.29,skos:Concept,各種の図書館--公共図書館--地域文庫などの読書施設
ndc9:016.3,skos:Concept,各種の図書館--官公庁図書館．議会図書館
ndc9:016.4,skos:Concept,各種の図書館--団体・企業内の図書館
ndc9:016.5,skos:Concept,各種の図書館--その他の図書館
